Series ID,Year,Period,Label,Value
CUUR0000SAH1,2022,M01,2022 Jan,342.604
CUUR0000SAH1,2022,M02,2022 Feb,344.607
CUUR0000SAH1,2022,M03,2022 Mar,346.618
CUUR0000SAH1,2022,M04,2022 Apr,348.389
CUUR0000SAH1,2022,M05,2022 May,350.580
CUUR0000SAH1,2022,M06,2022 Jun,352.967
CUUR0000SAH1,2022,M07,2022 Jul,354.935
CUUR0000SAH1,2022,M08,2022 Aug,357.264
CUUR0000SAH1,2022,M09,2022 Sep,359.704
CUUR0000SAH1,2022,M10,2022 Oct,362.093
CUUR0000SAH1,2022,M11,2022 Nov,364.195
CUUR0000SAH1,2022,M12,2022 Dec,366.868
CUUR0000SAH1,2023,M01,2023 Jan,369.585
CUUR0000SAH1,2023,M02,2023 Feb,372.510
CUUR0000SAH1,2023,M03,2023 Mar,374.971
CUUR0000SAH1,2023,M04,2023 Apr,376.636
CUUR0000SAH1,2023,M05,2023 May,378.776
CUUR0000SAH1,2023,M06,2023 Jun,380.594
CUUR0000SAH1,2023,M07,2023 Jul,382.226
CUUR0000SAH1,2023,M08,2023 Aug,383.221
CUUR0000SAH1,2023,M09,2023 Sep,385.433
CUUR0000SAH1,2023,M10,2023 Oct,386.435
CUUR0000SAH1,2023,M11,2023 Nov,387.892
CUUR0000SAH1,2023,M12,2023 Dec,389.433
CUUR0000SAH1,2024,M01,2024 Jan,391.896
CUUR0000SAH1,2024,M02,2024 Feb,393.906
CUUR0000SAH1,2024,M03,2024 Mar,396.174
CUUR0000SAH1,2024,M04,2024 Apr,397.539
CUUR0000SAH1,2024,M05,2024 May,399.274
CUUR0000SAH1,2024,M06,2024 Jun,400.234
CUUR0000SAH1,2024,M07,2024 Jul,401.545
CUUR0000SAH1,2024,M08,2024 Aug,403.257
CUUR0000SAH1,2024,M09,2024 Sep,404.133
CUUR0000SAH1,2024,M10,2024 Oct,405.287
CUUR0000SAH1,2024,M11,2024 Nov,406.250
CUUR0000SAH1,2024,M12,2024 Dec,407.242
CUUR0000SAH1,2025,M01,2025 Jan,409.153
CUUR0000SAH1,2025,M02,2025 Feb,410.635
CUUR0000SAH1,2025,M03,2025 Mar,411.990
CUUR0000SAH1,2025,M04,2025 Apr,413.389
CUUR0000SAH1,2025,M05,2025 May,414.689
CUUR0000SETB01,2020,M01,2020 Jan,227.010
CUUR0000SETB01,2020,M02,2020 Feb,218.373
CUUR0000SETB01,2020,M03,2020 Mar,202.205
CUUR0000SETB01,2020,M04,2020 Apr,168.891
CUUR0000SETB01,2020,M05,2020 May,168.528
CUUR0000SETB01,2020,M06,2020 Jun,185.422
CUUR0000SETB01,2020,M07,2020 Jul,194.397
CUUR0000SETB01,2020,M08,2020 Aug,194.449
CUUR0000SETB01,2020,M09,2020 Sep,195.888
CUUR0000SETB01,2020,M10,2020 Oct,192.792
CUUR0000SETB01,2020,M11,2020 Nov,187.609
CUUR0000SETB01,2020,M12,2020 Dec,193.990
CUUR0000SETB01,2021,M01,2021 Jan,207.406
CUUR0000SETB01,2021,M02,2021 Feb,221.689
CUUR0000SETB01,2021,M03,2021 Mar,247.652
CUUR0000SETB01,2021,M04,2021 Apr,252.603
CUUR0000SETB01,2021,M05,2021 May,263.170
CUUR0000SETB01,2021,M06,2021 Jun,268.979
CUUR0000SETB01,2021,M07,2021 Jul,275.656
CUUR0000SETB01,2021,M08,2021 Aug,277.448
CUUR0000SETB01,2021,M09,2021 Sep,278.338
CUUR0000SETB01,2021,M10,2021 Oct,288.501
CUUR0000SETB01,2021,M11,2021 Nov,296.571
CUUR0000SETB01,2021,M12,2021 Dec,290.185
CUUR0000SETB01,2022,M01,2022 Jan,290.416
CUUR0000SETB01,2022,M02,2022 Feb,305.959
CUUR0000SETB01,2022,M03,2022 Mar,366.499
CUUR0000SETB01,2022,M04,2022 Apr,362.802
CUUR0000SETB01,2022,M05,2022 May,391.262
CUUR0000SETB01,2022,M06,2022 Jun,430.142
CUUR0000SETB01,2022,M07,2022 Jul,396.952
CUUR0000SETB01,2022,M08,2022 Aug,348.593
CUUR0000SETB01,2022,M09,2022 Sep,328.918
CUUR0000SETB01,2022,M10,2022 Oct,339.017
CUUR0000SETB01,2022,M11,2022 Nov,326.649
CUUR0000SETB01,2022,M12,2022 Dec,285.757
CUUR0000SETB01,2023,M01,2023 Jan,294.759
CUUR0000SETB01,2023,M02,2023 Feb,299.774
CUUR0000SETB01,2023,M03,2023 Mar,302.673
CUUR0000SETB01,2023,M04,2023 Apr,318.482
CUUR0000SETB01,2023,M05,2023 May,314.116
CUUR0000SETB01,2023,M06,2023 Jun,316.258
CUUR0000SETB01,2023,M07,2023 Jul,318.071
CUUR0000SETB01,2023,M08,2023 Aug,336.979
CUUR0000SETB01,2023,M09,2023 Sep,338.893
CUUR0000SETB01,2023,M10,2023 Oct,320.999
CUUR0000SETB01,2023,M11,2023 Nov,297.598
CUUR0000SETB01,2023,M12,2023 Dec,280.289
CUUR0000SETB01,2024,M01,2024 Jan,276.003
CUUR0000SETB01,2024,M02,2024 Feb,287.943
CUUR0000SETB01,2024,M03,2024 Mar,306.513
CUUR0000SETB01,2024,M04,2024 Apr,322.434
CUUR0000SETB01,2024,M05,2024 May,320.981
CUUR0000SETB01,2024,M06,2024 Jun,308.475
CUUR0000SETB01,2024,M07,2024 Jul,310.915
CUUR0000SETB01,2024,M08,2024 Aug,302.419
CUUR0000SETB01,2024,M09,2024 Sep,287.102
CUUR0000SETB01,2024,M10,2024 Oct,281.741
CUUR0000SETB01,2024,M11,2024 Nov,273.570
CUUR0000SETB01,2024,M12,2024 Dec,270.667
CUUR0000SETB01,2025,M01,2025 Jan,275.527
CUUR0000SETB01,2025,M02,2025 Feb,279.059
CUUR0000SETB01,2025,M03,2025 Mar,276.558
CUUR0000SETB01,2025,M04,2025 Apr,284.526
CUUR0000SETB01,2025,M05,2025 May,282.614
CUURS49ASA0,2020,M01,2020 Jan,277.755
CUURS49ASA0,2020,M02,2020 Feb,278.657
CUURS49ASA0,2020,M03,2020 Mar,276.589
CUURS49ASA0,2020,M04,2020 Apr,275.853
CUURS49ASA0,2020,M05,2020 May,276.842
CUURS49ASA0,2020,M06,2020 Jun,278.121
CUURS49ASA0,2020,M07,2020 Jul,279.899
CUURS49ASA0,2020,M08,2020 Aug,280.116
CUURS49ASA0,2020,M09,2020 Sep,279.366
CUURS49ASA0,2020,M10,2020 Oct,279.947
CUURS49ASA0,2020,M11,2020 Nov,280.102
CUURS49ASA0,2020,M12,2020 Dec,279.560
CUURS49ASA0,2021,M01,2021 Jan,280.178
CUURS49ASA0,2021,M02,2021 Feb,281.347
CUURS49ASA0,2021,M03,2021 Mar,282.648
CUURS49ASA0,2021,M04,2021 Apr,285.808
CUURS49ASA0,2021,M05,2021 May,287.620
CUURS49ASA0,2021,M06,2021 Jun,289.218
CUURS49ASA0,2021,M07,2021 Jul,290.890
CUURS49ASA0,2021,M08,2021 Aug,291.333
CUURS49ASA0,2021,M09,2021 Sep,292.209
CUURS49ASA0,2021,M10,2021 Oct,294.961
CUURS49ASA0,2021,M11,2021 Nov,296.790
CUURS49ASA0,2021,M12,2021 Dec,297.925
CUURS49ASA0,2022,M01,2022 Jan,301.209
CUURS49ASA0,2022,M02,2022 Feb,302.164
CUURS49ASA0,2022,M03,2022 Mar,306.679
CUURS49ASA0,2022,M04,2022 Apr,308.302
CUURS49ASA0,2022,M05,2022 May,310.649
CUURS49ASA0,2022,M06,2022 Jun,314.072
CUURS49ASA0,2022,M07,2022 Jul,313.415
CUURS49ASA0,2022,M08,2022 Aug,313.608
CUURS49ASA0,2022,M09,2022 Sep,315.033
CUURS49ASA0,2022,M10,2022 Oct,317.014
CUURS49ASA0,2022,M11,2022 Nov,314.633
CUURS49ASA0,2022,M12,2022 Dec,312.601
CUURS49ASA0,2023,M01,2023 Jan,318.591
CUURS49ASA0,2023,M02,2023 Feb,317.571
CUURS49ASA0,2023,M03,2023 Mar,317.873
CUURS49ASA0,2023,M04,2023 Apr,320.089
CUURS49ASA0,2023,M05,2023 May,320.514
CUURS49ASA0,2023,M06,2023 Jun,322.055
CUURS49ASA0,2023,M07,2023 Jul,321.931
CUURS49ASA0,2023,M08,2023 Aug,324.050
CUURS49ASA0,2023,M09,2023 Sep,324.984
CUURS49ASA0,2023,M10,2023 Oct,324.545
CUURS49ASA0,2023,M11,2023 Nov,323.341
CUURS49ASA0,2023,M12,2023 Dec,323.456
CUURS49ASA0,2024,M01,2024 Jan,326.640
CUURS49ASA0,2024,M02,2024 Feb,328.232
CUURS49ASA0,2024,M03,2024 Mar,330.671
CUURS49ASA0,2024,M04,2024 Apr,332.572
CUURS49ASA0,2024,M05,2024 May,332.956
CUURS49ASA0,2024,M06,2024 Jun,332.357
CUURS49ASA0,2024,M07,2024 Jul,332.928
CUURS49ASA0,2024,M08,2024 Aug,333.359
CUURS49ASA0,2024,M09,2024 Sep,334.123
CUURS49ASA0,2024,M10,2024 Oct,334.242
CUURS49ASA0,2024,M11,2024 Nov,333.718
CUURS49ASA0,2024,M12,2024 Dec,334.531
CUURS49ASA0,2025,M01,2025 Jan,337.508
CUURS49ASA0,2025,M02,2025 Feb,338.438
CUURS49ASA0,2025,M03,2025 Mar,340.648
CUURS49ASA0,2025,M04,2025 Apr,342.565
CUURS49ASA0,2025,M05,2025 May,343.010
